case,method,seed,success,energy,exact,rel_error_percent,max_rel_error_percent,nodes,nodes_expected,subspace_weight,parity_score,runtime_s,failure_mode
ellipse split,symmetry_sectors,10,False,,,20.377567828952998,48.94354722288143,,,,0.8,37.95120406150818,branch drift/missing parity sector
1D n=5,residual,11,False,88.82675640234376,246.74011002723395,63.999871608819696,63.999871608819696,2.0,4.0,,,1.4064030647277832,wrong nodes/lower-state collapse
1D n=5,penalty,11,False,9.869568626208187,246.74011002723395,96.00001449901322,96.00001449901322,0.0,4.0,,,0.9165260791778564,wrong nodes/lower-state collapse
1D n=5,projection,11,False,245.15405132055864,246.74011002723395,0.6428053819463141,0.6428053819463141,4.0,4.0,,,1.5707850456237793,energy error
disk m=1,state_by_state,11,False,15.961007432435828,14.681970642123895,8.711615228559722,8.711615228559722,,,0.9887226418108932,,3.7544970512390137,energy error
disk m=1,subspace_ritz,11,False,11.416078685858599,14.681970642123895,34.79306735169386,34.79306735169386,,,3.386242493172403e-05,,8.282356977462769,low subspace weight
ellipse split,generic_subspace,11,False,,,34.527929473169,78.58293937095871,,,,0.0,23.501403093338013,branch drift/missing parity sector
ellipse split,symmetry_sectors,11,False,,,12.629785309235322,34.20883996124173,,,,0.6,38.05733585357666,branch drift/missing parity sector
1D n=5,residual,12,False,9.869603934385786,246.74011002723395,96.00000018914783,96.00000018914783,0.0,4.0,,,1.3516969680786133,wrong nodes/lower-state collapse
1D n=5,penalty,12,False,9.870417637126568,246.74011002723395,95.99967040784851,95.99967040784851,0.0,4.0,,,0.8839550018310547,wrong nodes/lower-state collapse
1D n=5,projection,12,False,244.85852109042952,246.74011002723395,0.7625792728214125,0.7625792728214125,4.0,4.0,,,1.5648579597473145,energy error
disk m=1,state_by_state,12,False,15.984028795547717,14.681970642123895,8.868415454313059,8.868415454313059,,,0.9871128951396795,,3.7794129848480225,energy error
disk m=1,subspace_ritz,12,False,11.289611380036344,14.681970642123895,37.60427331154102,37.60427331154102,,,0.1718888342568752,,8.270417928695679,low subspace weight
ellipse split,generic_subspace,12,False,,,32.92779513746824,63.89069001298888,,,,0.0,23.4414279460907,branch drift/missing parity sector
ellipse split,symmetry_sectors,12,False,,,28.69961009946809,60.31828352448801,,,,0.6,37.96805787086487,branch drift/missing parity sector
1D n=5,residual,13,False,170.9031634431267,246.74011002723395,30.73555676688997,30.73555676688997,3.0,4.0,,,1.37453293800354,wrong nodes/lower-state collapse
1D n=5,penalty,13,False,9.873613957707235,246.74011002723395,95.99837498791037,95.99837498791037,0.0,4.0,,,0.9423182010650635,wrong nodes/lower-state collapse
1D n=5,projection,13,False,245.24891074955113,246.74011002723395,0.6043603034456915,0.6043603034456915,4.0,4.0,,,1.5481746196746826,energy error
disk m=1,state_by_state,13,False,15.902486515782325,14.681970642123895,8.313024888884193,8.313024888884193,,,0.9881931840685136,,3.7471718788146973,energy error
disk m=1,subspace_ritz,13,False,11.23442614582123,14.681970642123895,34.74725210924402,34.74725210924402,,,0.0022449543383011037,,8.325442790985107,low subspace weight
ellipse split,generic_subspace,13,False,,,28.98463544600087,56.723546018311865,,,,0.0,23.60027003288269,branch drift/missing parity sector
ellipse split,symmetry_sectors,13,False,,,31.508265205690254,63.13552126049804,,,,0.2,37.57884383201599,branch drift/missing parity sector
1D n=5,residual,14,False,91.71354856331052,246.74011002723395,62.8298988141054,62.8298988141054,2.0,4.0,,,1.345095157623291,wrong nodes/lower-state collapse
1D n=5,penalty,14,False,9.869927156756725,246.74011002723395,95.99986919205502,95.99986919205502,0.0,4.0,,,0.9051039218902588,wrong nodes/lower-state collapse
1D n=5,projection,14,False,245.17956678432736,246.74011002723395,0.6324643539853917,0.6324643539853917,4.0,4.0,,,1.5813519954681396,energy error
disk m=1,state_by_state,14,False,15.47271238476695,14.681970642123895,5.38580114289526,5.38580114289526,,,0.9868185608493459,,3.7904770374298096,energy error
disk m=1,subspace_ritz,14,False,11.354601448526623,14.681970642123895,43.06024934086176,43.06024934086176,,,0.016311349565205996,,8.298973083496094,low subspace weight
ellipse split,generic_subspace,14,False,,,33.41130230608051,68.40346995762798,,,,0.0,23.407235860824585,branch drift/missing parity sector
ellipse split,symmetry_sectors,14,False,,,27.428399985141237,67.72108472964995,,,,0.6,37.66339874267578,branch drift/missing parity sector
1D n=5,residual,15,False,88.82786191829076,246.74011002723395,63.99942356008255,63.99942356008255,2.0,4.0,,,1.375452995300293,wrong nodes/lower-state collapse
1D n=5,penalty,15,False,9.869063247315466,246.74011002723395,96.0002193213636,96.0002193213636,0.0,4.0,,,0.8962008953094482,wrong nodes/lower-state collapse
1D n=5,projection,15,False,245.22142171181923,246.74011002723395,0.6155011908064302,0.6155011908064302,4.0,4.0,,,1.5623269081115723,energy error
