eta,pinn_rank,exact_label,nx,ny,overlap,overlap_weight
0.9,3,psi_13,1,3,-0.003396524116396904,1.153637607326577e-05
0.9,3,psi_32,3,2,-0.0006639768253080547,4.4086522454616297e-07
0.9,3,psi_23,2,3,-0.0012348485179245472,1.5248508622204508e-06
0.9,3,psi_41,4,1,-2.5786139303818345e-05,6.649249801959252e-10
0.9,3,psi_33,3,3,-0.0008694816497154534,7.559983391919064e-07
0.9,3,psi_14,1,4,-0.011049283668398857,0.0001220866695847457
0.9,3,psi_42,4,2,0.004408728331327438,1.943688549944922e-05
0.9,4,psi_11,1,1,0.00015305966371670365,2.342726065707041e-08
0.9,4,psi_21,2,1,0.0005459524691104889,2.9806409852783933e-07
0.9,4,psi_12,1,2,-0.00045593397226184607,2.0787578706246582e-07
0.9,4,psi_22,2,2,0.9994014501571655,0.9988032585762454
0.9,4,psi_31,3,1,-0.023378562182188034,0.0005465571697064325
0.9,4,psi_13,1,3,0.0012184224324300885,1.4845532238488536e-06
0.9,4,psi_32,3,2,0.006306124851107597,3.976721063775682e-05
0.9,4,psi_23,2,3,0.014280888251960278,0.00020394376926497707
0.9,4,psi_41,4,1,0.0033868998289108276,1.1471090451076194e-05
0.9,4,psi_33,3,3,-0.0050597041845321655,2.5600606434972306e-05
0.9,4,psi_14,1,4,-2.6980764232575893e-05,7.279616385738466e-10
0.9,4,psi_42,4,2,-0.009239129722118378,8.536151802213121e-05
1.0,1,psi_11,1,1,-0.9999327063560486,0.9998654172405317
1.0,1,psi_12,1,2,0.0005447277799248695,2.967283542218771e-07
1.0,1,psi_21,2,1,1.1381365766283125e-05,1.2953548670592146e-10
1.0,1,psi_22,2,2,4.426184750627726e-05,1.9591111446689428e-09
1.0,1,psi_13,1,3,0.006338170729577541,4.01724081972735e-05
1.0,1,psi_31,3,1,0.003980835899710655,1.5847054460425142e-05
1.0,1,psi_23,2,3,0.002674463205039501,7.152753435110161e-06
1.0,1,psi_32,3,2,0.0015681128716096282,2.4589779781077943e-06
1.0,1,psi_14,1,4,0.0034051788970828056,1.1595243321138073e-05
1.0,1,psi_41,4,1,0.0015737410867586732,2.4766610081523697e-06
1.0,1,psi_33,3,3,-0.0006611665012314916,4.3714114235069194e-07
1.0,1,psi_24,2,4,0.00026798268663696945,7.181472033716816e-08
1.0,2,psi_11,1,1,0.0001721389126032591,2.963180523223247e-08
1.0,2,psi_12,1,2,0.39738011360168457,0.15791095468608773
1.0,2,psi_21,2,1,-0.9175699949264526,0.8419346955893303
1.0,2,psi_22,2,2,-0.00028574420139193535,8.164974862911491e-08
1.0,2,psi_13,1,3,-0.004817593842744827,2.320921043365287e-05
1.0,2,psi_31,3,1,0.00222092610783875,4.9325127764797785e-06
1.0,2,psi_23,2,3,0.00445336289703846,1.9832441092718783e-05
1.0,2,psi_32,3,2,-0.0016431878320872784,2.7000662515196897e-06
1.0,2,psi_14,1,4,-0.002203008159995079,4.853244953004904e-06
1.0,2,psi_41,4,1,0.002463804092258215,6.0703306050283266e-06
1.0,2,psi_33,3,3,0.0013613596092909575,1.8532999858088283e-06
1.0,2,psi_24,2,4,0.0021069012582302094,4.439032911932039e-06
1.0,3,psi_11,1,1,0.0004476727917790413,2.0041092849924086e-07
1.0,3,psi_12,1,2,0.9175038933753967,0.8418133943590114
1.0,3,psi_21,2,1,0.39741742610931396,0.15794061057535203
1.0,3,psi_22,2,2,0.00017784815281629562,3.162996546016844e-08
1.0,3,psi_13,1,3,-0.0031474530696868896,9.906460825881425e-06
1.0,3,psi_31,3,1,0.0003264984698034823,1.0660125078401544e-07
1.0,3,psi_23,2,3,0.0020720683969557285,4.293467441662683e-06
1.0,3,psi_32,3,2,0.000405549188144505,1.6447014400466713e-07
1.0,3,psi_14,1,4,-0.007521657273173332,5.657532813508129e-05
1.0,3,psi_41,4,1,0.000883336877450347,7.802840390637293e-07
1.0,3,psi_33,3,3,5.7150464272126555e-05,3.266175566519614e-09
1.0,3,psi_24,2,4,0.0028567793779075146,8.161188414037646e-06
1.0,4,psi_11,1,1,-6.264046533033252e-06,3.92382789680059e-11
1.0,4,psi_12,1,2,6.159873737487942e-05,3.794404446179367e-09
1.0,4,psi_21,2,1,0.0003078402951359749,9.476564730940412e-08
1.0,4,psi_22,2,2,-0.9999962449073792,0.999992489828859
1.0,4,psi_13,1,3,0.004390374757349491,1.9275390509971603e-05
1.0,4,psi_31,3,1,0.003212808398529887,1.0322137805664178e-05
1.0,4,psi_23,2,3,-0.00187708530575037,3.52344924506396e-06
1.0,4,psi_32,3,2,-0.002562567126005888,6.566750275286077e-06
1.0,4,psi_14,1,4,-0.0013367881765589118,1.7870026289877003e-06
1.0,4,psi_41,4,1,0.000472618528874591,2.233682738355826e-07
1.0,4,psi_33,3,3,0.0005531827337108552,3.06011136875815e-07
1.0,4,psi_24,2,4,0.0003228597342967987,1.0423840803019946e-07
1.1,1,psi_11,1,1,0.9998722076416016,0.99974443161409
1.1,1,psi_12,1,2,-0.0005532214418053627,3.060539636732043e-07
1.1,1,psi_21,2,1,0.00011034391354769468,1.2175779257021118e-08
1.1,1,psi_22,2,2,0.0018896833062171936,3.570902997795944e-06
1.1,1,psi_13,1,3,-3.867223858833313e-05,1.495542037432962e-09
1.1,1,psi_31,3,1,-0.012124723754823208,0.0001470089261307742
1.1,1,psi_23,2,3,-0.0009359948453493416,8.76086350520538e-07
1.1,1,psi_32,3,2,-0.0027690506540238857,7.66764152455011e-06
1.1,1,psi_14,1,4,-0.0008480632677674294,7.192113061363706e-07
1.1,1,psi_33,3,3,-0.0005055845831520855,2.556157707210681e-07
1.1,1,psi_41,4,1,0.0028751613572239876,8.266552830074082e-06
1.1,1,psi_24,2,4,0.0005425908602774143,2.9440484165658455e-07
1.1,2,psi_11,1,1,0.0005040927790105343,2.5410952985056336e-07
1.1,2,psi_12,1,2,0.9998495578765869,0.9996991383860063
1.1,2,psi_21,2,1,0.0007914738962426782,6.264309284335657e-07
1.1,2,psi_22,2,2,0.007235815282911062,5.2357022808409296e-05
1.1,2,psi_13,1,3,-0.000443493016064167,1.966860552976915e-07
1.1,2,psi_31,3,1,-0.002045269589871168,4.183127695251776e-06
1.1,2,psi_23,2,3,0.003851123619824648,1.48311531351713e-05
1.1,2,psi_32,3,2,0.005912664346396923,3.4959599673153353e-05
1.1,2,psi_14,1,4,-0.005376629531383514,2.890814511774531e-05
1.1,2,psi_33,3,3,0.0009381338022649288,8.800950309520526e-07
1.1,2,psi_41,4,1,0.0011728350073099136,1.3755419543716452e-06
1.1,2,psi_24,2,4,-0.0007060904754325747,4.985637594965994e-07
1.1,3,psi_11,1,1,-7.45101278880611e-05,5.551759157895221e-09
1.1,3,psi_12,1,2,-0.0008048416348174214,6.477700571355796e-07
1.1,3,psi_21,2,1,0.999971330165863,0.9999426611536855
1.1,3,psi_22,2,2,0.002510219346731901,6.301201168707133e-06
1.1,3,psi_13,1,3,5.81055210204795e-05,3.376251573061385e-09
1.1,3,psi_31,3,1,0.002582894405350089,6.67134350918879e-06
1.1,3,psi_23,2,3,-0.000789811834692955,6.238027342210517e-07
1.1,3,psi_32,3,2,-0.0003076053108088672,9.46210272378198e-08
1.1,3,psi_14,1,4,-0.00031060451874509454,9.647516706487178e-08
1.1,3,psi_33,3,3,0.0020730814430862665,4.297666669668637e-06
1.1,3,psi_41,4,1,-0.0020767052192240953,4.312704567552598e-06
1.1,3,psi_24,2,4,0.0011650575324892998,1.3573590540100558e-06
1.1,4,psi_11,1,1,-2.0519830286502838e-05,4.2106343498687915e-10
1.1,4,psi_12,1,2,-0.00028989091515541077,8.403674268964156e-08
1.1,4,psi_21,2,1,7.199804531410336e-05,5.1837185290516815e-09
1.1,4,psi_22,2,2,-0.013991680927574635,0.00019576713517905579
1.1,4,psi_13,1,3,-0.9998527765274048,0.9997055747295605
1.1,4,psi_31,3,1,-0.0005718172760680318,3.269749972098637e-07
1.1,4,psi_23,2,3,-0.003967961762100458,1.5744720545491373e-05
1.1,4,psi_32,3,2,-0.0012087589129805565,1.4610981097099365e-06
1.1,4,psi_14,1,4,0.0010757781565189362,1.1572986420432807e-06
1.1,4,psi_33,3,3,0.0040487078949809074,1.639203561888073e-05
1.1,4,psi_41,4,1,-0.0009669911814853549,9.350719450704426e-07
1.1,4,psi_24,2,4,-3.90280329156667e-05,1.5231873532663633e-09
1.2,1,psi_11,1,1,0.9998498558998108,0.9996997343428724
1.2,1,psi_12,1,2,-0.0002723848447203636,7.41935036333366e-08
1.2,1,psi_21,2,1,-0.00011788978008553386,1.3898000248615535e-08
1.2,1,psi_22,2,2,0.014843535609543324,0.00022033054939178068
1.2,1,psi_13,1,3,-0.00014378409832715988,2.067386693175438e-08
1.2,1,psi_31,3,1,-0.0014517302624881268,2.1075207550238454e-06
1.2,1,psi_23,2,3,-0.0006688822759315372,4.47403499055353e-07
