mode_index,epsilon,c12,c21,w12,w21,w_subspace,seed_id,seed,training_seed,selected_doublet_rank
3,50.464035,0.9297536611557007,0.36400189995765686,0.8644418704324295,0.13249738317278403,0.9969392536052135,16,1016,1016000,2
1,19.83274,0.0013211467303335667,0.00011382567754480988,1.745428683071074e-06,1.2956284868535036e-08,1.758384967939609e-06,17,1017,1017000,0
2,49.90964,0.8595240116119385,-0.5095077157020569,0.7387815265374797,0.259598112359928,0.9983796388974078,17,1017,1017000,1
3,50.399883,0.5093992948532104,0.8585386872291565,0.25948764159694804,0.7370886774691634,0.9965763190661114,17,1017,1017000,2
1,19.817705,-0.0016635570209473372,-0.0018038349226117134,2.767421961943179e-06,3.253820428033606e-06,6.021242389976785e-06,18,1018,1018000,0
2,50.130985,0.8780124187469482,-0.4763247072696686,0.7709058074738664,0.22688522675553546,0.9977910342294019,18,1018,1018000,1
3,50.215717,0.4763222336769104,0.8778226375579834,0.22688287029496124,0.7705725830092547,0.9974554533042159,18,1018,1018000,2
1,19.795656,0.001328514888882637,0.001183743472211063,1.7649518099828454e-06,1.4012486080023035e-06,3.166200417985149e-06,19,1019,1019000,0
2,49.978046,0.46866700053215027,-0.8825437426567078,0.21964875738780254,0.7788834577025092,0.9985322150903118,19,1019,1019000,1
3,50.239185,0.8819553256034851,0.4686078727245331,0.7778451963603494,0.2195933383794122,0.9974385347397616,19,1019,1019000,2
1,19.898663,0.0012180724879726768,-0.0012041094014421105,1.4837005859559468e-06,1.4498794506412777e-06,2.9335800365972245e-06,20,1020,1020000,0
2,49.846973,-0.9423078298568726,0.3329346477985382,0.8879440462095687,0.11084547970473668,0.9987895259143054,20,1020,1020000,1
3,50.135773,0.3328475058078766,0.941957414150238,0.11078746212252444,0.8872837700726031,0.9980712321951275,20,1020,1020000,2
1,19.797731,-0.0005652715917676687,-0.0019143943209201097,3.195319724595539e-07,3.664905615971168e-06,3.984437588430722e-06,21,1021,1021000,0
2,49.75368,0.9720078706741333,-0.2327224761247635,0.9447993006524626,0.05415975089364111,0.9989590515461038,21,1021,1021000,1
3,50.211594,-0.23298126459121704,-0.9714279770851135,0.05428026965052268,0.9436723146636758,0.9979525843141985,21,1021,1021000,2
1,19.795431,0.0018834047950804234,0.00141147430986166,3.5472136221319315e-06,1.9922597273994494e-06,5.539473349531381e-06,22,1022,1022000,0
2,50.139793,0.6503897905349731,-0.758150577545166,0.42300687963212624,0.5747922982320688,0.997799177864195,22,1022,1022000,1
3,50.25423,-0.7580652236938477,-0.6501733064651489,0.5746628833740033,0.42272532843982447,0.9973882118138278,22,1022,1022000,2
1,19.806255,-0.0019349055364727974,-0.002961666090413928,3.743859435073084e-06,8.771466031107721e-06,1.2515325466180805e-05,23,1023,1023000,0
2,50.11743,0.6859515905380249,-0.7260881662368774,0.4705295845616462,0.5272040251492314,0.9977336097108775,23,1023,1023000,1
3,50.407505,-0.7257736921310425,-0.6856423616409302,0.5267474521895252,0.4701054480765521,0.9968529002660773,23,1023,1023000,2
1,19.820765,-0.0018947439966723323,-0.0013382926117628813,3.590054812925843e-06,1.791027114699114e-06,5.381081927624957e-06,24,1024,1024000,0
2,50.128593,-0.34072360396385193,0.93901526927948,0.11609257429811581,0.8817496759400143,0.9978422502381301,24,1024,1024000,1
3,50.352917,0.9387097358703613,0.3406829237937927,0.8811759682178035,0.11606485456468718,0.9972408227824907,24,1024,1024000,2
1,19.80931,-0.002207866869866848,-0.002409502398222685,4.874676115055633e-06,5.80570180704087e-06,1.0680377922096503e-05,25,1025,1025000,0
2,49.64069,-0.555926501750946,0.8308761715888977,0.3090542753490446,0.6903552125142234,0.999409487863268,25,1025,1025000,1
3,50.40824,-0.8300318121910095,-0.5552400350570679,0.6889528092490913,0.30829149653017396,0.9972443057792653,25,1025,1025000,2
1,19.915482,0.001503953943029046,0.0013874161522835493,2.261877462752615e-06,1.924923579617289e-06,4.186801042369904e-06,26,1026,1026000,0
2,49.650295,0.16876572370529175,-0.9854884147644043,0.028481869497770873,0.9711874156348586,0.9996692851326294,26,1026,1026000,1
3,50.089222,-0.9845628142356873,-0.1687506139278412,0.9693639351756964,0.028476769701023308,0.9978407048767197,26,1026,1026000,2
1,19.793625,0.0026782709173858166,0.0012121610343456268,7.1731351069146635e-06,1.46933437318586e-06,8.642469480100523e-06,27,1027,1027000,0
2,50.07011,0.7352414727210999,-0.6762948036193848,0.5405800232090918,0.4573746614025822,0.997954684611674,27,1027,1027000,1
3,50.17672,0.6762653589248657,0.7352477312088013,0.45733483568177746,0.5405892262476897,0.9979240619294671,27,1027,1027000,2
1,19.983822,0.00023699819575995207,0.0026336675509810448,5.616814479347256e-08,6.936204769090494e-06,6.992372913883967e-06,28,1028,1028000,0
2,49.7347,0.9442353844642639,-0.3280954658985138,0.8915804612743763,0.10764663474316283,0.9992270960175391,28,1028,1028000,1
3,50.25776,-0.3278619349002838,-0.9434472918510437,0.10749344835655794,0.8900927925010684,0.9975862408576264,28,1028,1028000,2
1,19.981098,0.0036113495007157326,0.0031665388960391283,1.3041845216319771e-05,1.0026968580128701e-05,2.3068813796448472e-05,29,1029,1029000,0
2,49.792175,0.3059501349925995,-0.9515793919563293,0.09360548510198985,0.9055033391959775,0.9991088242979673,29,1029,1029000,1
3,50.265747,0.9506502747535706,0.305992066860199,0.9037359448890392,0.09363114498137648,0.9973670898704157,29,1029,1029000,2
1,19.974518,-6.47971173748374e-05,-0.0027350294403731823,4.198666420088455e-09,7.480386039708043e-06,7.484584706128131e-06,30,1030,1030000,0
2,49.787132,-0.9983119964599609,-0.05105634406208992,0.9966268422758731,0.0026067502689865046,0.9992335925448596,30,1030,1030000,1
3,50.128273,0.0509289875626564,-0.9976600408554077,0.0025937617741572105,0.9953255571196138,0.997919318893771,30,1030,1030000,2
1,19.908297,0.0019039721228182316,0.001511547714471817,3.625109844468963e-06,2.2847764931249737e-06,5.909886337593937e-06,31,1031,1031000,0
2,49.79209,-0.9689146280288696,0.24584129452705383,0.9387955564083228,0.06043794209473763,0.9992334985030604,31,1031,1031000,1
3,50.349525,-0.24594071507453918,-0.9676728248596191,0.060486835331375666,0.9363906959717951,0.9968775313031708,31,1031,1031000,2
1,19.818308,0.0012455260148271918,0.0020090125035494566,1.551335053611306e-06,4.036131239418055e-06,5.5874662930293614e-06,32,1032,1032000,0
2,50.1488,-0.8333686590194702,0.550308346748352,0.69450332183591,0.3028392765009045,0.9973425983368145,32,1032,1032000,1
3,50.336758,-0.5502939224243164,-0.8330225944519043,0.30282340105713956,0.6939266428673818,0.9967500439245214,32,1032,1032000,2
1,19.798033,-0.0009225051035173237,-0.0018378065433353186,8.510156660155082e-07,3.377532890726112e-06,4.22854855674162e-06,33,1033,1033000,0
2,50.03548,-0.5177581310272217,0.8544409871101379,0.26807348224480165,0.7300694004537469,0.9981428826985486,33,1033,1033000,1
3,50.31502,0.8540932536125183,0.5175982713699341,0.7294752858664175,0.2679079705251439,0.9973832563915614,33,1033,1033000,2
1,19.830013,-0.0003499701269902289,0.002264284761622548,1.2247908978555694e-07,5.1269854817160795e-06,5.2494645715016364e-06,34,1034,1034000,0
2,50.03477,-0.9570813179016113,0.28632214665412903,0.9160046490762852,0.08198037166462857,0.9979850207409138,34,1034,1034000,1
3,50.36181,-0.2863008379936218,-0.9567418098449707,0.08196816983585009,0.9153548907054301,0.9973230605412802,34,1034,1034000,2
1,19.810482,-0.0014592722291126847,-0.0012573980493471026,2.129475438659504e-06,1.5810498545018988e-06,3.7105252931614026e-06,35,1035,1035000,0
2,49.845722,-0.4269198477268219,0.9036015868186951,0.1822605563830928,0.8164958277012637,0.9987563840843565,35,1035,1035000,1
3,50.166565,0.902979850769043,0.42687132954597473,0.8153726108948831,0.18221913198834816,0.9975917428832313,35,1035,1035000,2
1,19.790464,0.0009541296167299151,0.0009983209893107414,9.103633255211748e-07,9.966447976983775e-07,1.9070081232195523e-06,36,1036,1036000,0
2,49.978252,0.5280550718307495,-0.848310649394989,0.278842158886178,0.719630957876948,0.998473116763126,36,1036,1036000,1
