case,method,script,seed,seed_argument_available,returncode,runtime_s,log_path,note,success,rel_error_percent,max_rel_error_percent,subspace_weight,parity_score,nodes,nodes_expected,failure_mode,parsed_rows
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,11,True,0,445.41720819473267,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed11.log,native symmetry-sector ellipse script,True,1.6057344816629224,1.9372419818721058,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,12,True,0,6.033519983291626,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed12.log,native baseline 1D script,False,83.4308,120.6663,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,12,True,0,41.53827786445618,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed12.log,native projected 1D script,True,0.0272,0.034,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,12,True,0,45.799192905426025,data/ablation_native_logs/square_doublet__subspace_Ritz__seed12.log,native square subspace script,True,0.03,0.0312,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,12,True,0,101.37006688117981,data/ablation_native_logs/disk_m1__subspace_Ritz__seed12.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,12,True,0,351.76260113716125,data/ablation_native_logs/ellipse_split__generic_subspace__seed12.log,native generic ellipse script,False,454.2610143258386,1314.9945848148307,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,12,True,0,510.93180108070374,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed12.log,native symmetry-sector ellipse script,True,1.5940061880731906,1.9372419818721058,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,13,True,0,6.014332056045532,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed13.log,native baseline 1D script,False,60.3357,104.2534,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,13,True,0,41.787482261657715,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed13.log,native projected 1D script,True,0.0295,0.0295,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,13,True,0,44.3589072227478,data/ablation_native_logs/square_doublet__subspace_Ritz__seed13.log,native square subspace script,True,0.03,0.0312,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,13,True,0,80.2832989692688,data/ablation_native_logs/disk_m1__subspace_Ritz__seed13.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,13,True,0,196.11994695663452,data/ablation_native_logs/ellipse_split__generic_subspace__seed13.log,native generic ellipse script,False,633.2085458497958,2612.3079766496217,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,13,True,0,409.07614183425903,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed13.log,native symmetry-sector ellipse script,True,1.600811229282519,1.8337600357553876,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,14,True,0,5.908879041671753,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed14.log,native baseline 1D script,False,95.9606,95.9606,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,14,True,0,52.026326179504395,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed14.log,native projected 1D script,True,0.0217,0.0334,,,4.0,4.0,stable,5
